area_type,site_location,total_sqft,bath,balcony,bhk,price
Super built-up  Area,Swargate,1499.0,5.0,2.0,3.0,102.0
Built-up  Area,other,3000.0,7.0,2.0,6.0,210.0
Super built-up  Area,other,1665.0,3.0,2.0,3.0,88.0
Super built-up  Area,other,708.0,2.0,2.0,2.0,37.0
Super built-up  Area,other,1060.0,2.0,2.0,2.0,58.06
Built-up  Area,Vishrant Wadi,1000.0,2.0,2.0,2.0,70.0
Super built-up  Area,other,1000.0,2.0,1.0,2.0,28.88
Super built-up  Area,other,1450.0,2.0,2.0,3.0,70.0
Plot  Area,other,1200.0,4.0,2.0,4.0,155.0
Super built-up  Area,Warje,1296.0,2.0,3.0,2.0,80.0
Super built-up  Area,Yerawada,1540.0,3.0,2.0,3.0,90.0
Plot  Area,Alandi Road,2894.0,4.0,1.0,4.0,245.0
Super built-up  Area,other,1330.0,2.0,1.0,3.0,48.0
Built-up  Area,other,1200.0,2.0,1.0,2.0,65.0
Built-up  Area,other,1200.0,3.0,1.0,3.0,90.0
Super built-up  Area,other,2502.0,3.0,3.0,3.0,138.0
Built-up  Area,other,650.0,1.0,1.0,2.0,17.0
Plot  Area,other,2400.0,2.0,1.0,3.0,150.0
Super built-up  Area,Baner road,1007.0,2.0,2.0,2.0,43.0
Super built-up  Area,Bhandarkar Road,1200.0,2.0,2.0,2.0,50.0
Super built-up  Area,Bhavani Peth,966.0,2.0,2.0,2.0,49.9
Built-up  Area,other,1630.0,2.0,1.0,3.0,98.0
Built-up  Area,other,1640.0,3.0,2.0,3.0,229.0
Built-up  Area,other,782.0,2.0,2.0,2.0,55.68
Super built-up  Area,other,1260.0,2.0,2.0,2.0,66.78
Super built-up  Area,other,1800.0,3.0,3.0,3.0,120.0
Super built-up  Area,Chandan Nagar,1413.0,2.0,2.0,3.0,75.0
Super built-up  Area,other,1116.0,2.0,1.0,2.0,51.91
Super built-up  Area,other,1530.0,2.0,1.0,3.0,45.9
Built-up  Area,other,3700.0,4.0,1.0,4.0,225.0
Built-up  Area,other,2497.0,3.0,2.0,3.0,140.0
Super built-up  Area,other,1540.0,2.0,3.0,3.0,64.0
Super built-up  Area,other,1436.0,3.0,1.0,3.0,74.75
Super built-up  Area,other,1100.0,2.0,2.0,2.0,75.0
Super built-up  Area,Fergusson College Road,1427.0,3.0,2.0,3.0,120.0
Super built-up  Area,other,2061.0,3.0,1.0,3.0,200.0
Super built-up  Area,other,5611.5,4.0,0.0,4.0,477.0
Built-up  Area,other,2650.0,4.0,2.0,4.0,150.0
Super built-up  Area,Ghorpadi,1282.0,2.0,2.0,3.0,68.52
Built-up  Area,other,1050.0,2.0,1.0,2.0,34.0
Built-up  Area,Gultekdi,1600.0,3.0,2.0,3.0,65.0
Super built-up  Area,other,945.0,2.0,1.0,2.0,54.0
Super built-up  Area,other,1500.0,2.0,1.0,2.0,78.0
Built-up  Area,Hingne Khurd,1870.0,3.0,3.0,3.0,110.0
Plot  Area,other,1600.0,3.0,1.0,3.0,75.0
Super built-up  Area,other,880.0,1.0,1.0,2.0,16.5
Super built-up  Area,other,1535.0,3.0,2.0,3.0,83.0
Built-up  Area,other,950.0,2.0,1.0,2.0,57.0
Super built-up  Area,other,1360.0,2.0,1.0,2.0,65.0
Super built-up  Area,other,1073.5,2.0,0.0,2.0,54.005
Super built-up  Area,Khadki,1280.0,3.0,1.0,3.0,50.4
Super built-up  Area,Kharadi,1260.0,2.0,2.0,3.0,85.05
Built-up  Area,Kondhwa,5000.0,8.0,0.0,8.0,250.0
Super built-up  Area,Kondhwa Budruk,3050.0,5.0,1.0,5.0,213.0
Super built-up  Area,other,1563.05,3.0,1.0,3.0,105.0
Super built-up  Area,Koregaon Park,1000.0,2.0,1.0,2.0,60.0
Super built-up  Area,other,1167.0,2.0,1.0,2.0,43.76
Super built-up  Area,other,4000.0,7.0,2.0,7.0,225.0
Super built-up  Area,other,1828.0,3.0,0.0,3.0,110.0
Super built-up  Area,other,890.0,2.0,1.0,2.0,35.0
Super built-up  Area,other,1612.0,3.0,3.0,3.0,46.74
Super built-up  Area,Manik Bagh,1710.0,4.0,2.0,3.0,91.31
Super built-up  Area,Market yard,957.0,2.0,1.0,2.0,58.0
Super built-up  Area,other,1250.0,2.0,3.0,3.0,44.0
Super built-up  Area,other,2795.0,4.0,0.0,3.0,235.0
Super built-up  Area,Mundhawa,1125.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1020.0,2.0,1.0,2.0,30.6
Super built-up  Area,other,1200.0,2.0,2.0,2.0,50.0
Super built-up  Area,Narayan Peth,1735.0,3.0,3.0,3.0,135.0
Super built-up  Area,other,2050.0,3.0,1.0,3.0,145.0
Built-up  Area,other,1350.0,2.0,3.0,3.0,48.0
Super built-up  Area,Parvati Darshan,1063.0,2.0,1.0,2.0,32.0
Super built-up  Area,other,1904.0,3.0,1.0,3.0,150.0
Built-up  Area,Paud Road,4200.0,4.0,2.0,4.0,420.0
Super built-up  Area,other,2000.0,3.0,1.0,3.0,175.0
Super built-up  Area,other,1242.5,2.0,0.0,2.0,43.49
Super built-up  Area,other,1425.0,2.0,2.0,3.0,75.0
Super built-up  Area,Rasta Peth,1500.0,2.0,1.0,3.0,64.5
Built-up  Area,other,1060.0,2.0,1.0,2.0,60.0
Built-up  Area,Sadashiv Peth,1470.0,2.0,2.0,3.0,70.0
Super built-up  Area,other,450.0,1.0,1.0,1.0,11.0
Super built-up  Area,Sasson Road,1152.0,2.0,1.0,2.0,64.5
Super built-up  Area,other,1350.0,2.0,1.0,3.0,56.0
Super built-up  Area,other,1550.0,3.0,3.0,3.0,65.0
Plot  Area,other,1500.0,3.0,2.0,3.0,100.0
Plot  Area,other,400.0,1.0,0.0,1.0,14.0
Super built-up  Area,other,705.0,1.0,2.0,1.0,67.0
Built-up  Area,Somwar Peth,770.0,1.0,1.0,2.0,36.0
Super built-up  Area,Swargate,1242.0,2.0,3.0,2.0,51.0
Super built-up  Area,other,1700.0,3.0,2.0,3.0,155.0
Super built-up  Area,other,2144.0,3.0,2.0,3.0,145.0
Super built-up  Area,other,1704.0,3.0,2.0,3.0,110.0
Super built-up  Area,other,1070.0,2.0,1.0,2.0,52.0
Super built-up  Area,Vishrant Wadi,1340.0,2.0,2.0,2.0,55.7
Built-up  Area,other,1025.0,2.0,1.0,2.0,46.0
Super built-up  Area,other,1277.5,2.0,0.0,2.0,56.8
Super built-up  Area,other,1200.0,2.0,2.0,2.0,52.0
Built-up  Area,Warje,2250.0,4.0,1.0,4.0,110.0
Super built-up  Area,Yerawada,1550.0,2.0,3.0,3.0,80.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,60.0
Super built-up  Area,other,1327.0,2.0,2.0,2.0,98.0
Super built-up  Area,other,1186.0,2.0,2.0,2.0,58.0
Built-up  Area,other,1783.0,3.0,1.0,3.0,115.0
Super built-up  Area,other,1400.0,3.0,2.0,3.0,56.0
Super built-up  Area,Baner road,980.0,2.0,1.0,2.0,48.0
Super built-up  Area,Bhandarkar Road,1285.0,2.0,2.0,2.0,82.0
Super built-up  Area,Bhavani Peth,912.0,2.0,1.0,3.0,70.0
Built-up  Area,other,1225.0,2.0,2.0,2.0,47.6
Super built-up  Area,other,1075.0,2.0,1.0,2.0,53.0
Built-up  Area,other,1260.0,2.0,2.0,3.0,54.0
Super built-up  Area,other,1282.0,2.0,2.0,3.0,48.7
Super built-up  Area,other,1909.0,3.0,2.0,3.0,88.0
Super built-up  Area,Chandan Nagar,1359.0,2.0,1.0,2.0,87.0
Built-up  Area,other,1207.0,2.0,2.0,2.0,43.5
Plot  Area,other,1736.0,6.0,0.0,4.0,190.0
Super built-up  Area,other,2850.0,4.0,1.0,4.0,428.0
Super built-up  Area,other,1595.0,3.0,2.0,3.0,65.0
Built-up  Area,other,1798.0,3.0,2.0,3.0,89.0
Super built-up  Area,other,1475.0,3.0,2.0,3.0,78.29
Super built-up  Area,other,1580.0,3.0,3.0,3.0,100.0
Super built-up  Area,other,1295.0,2.0,1.0,2.0,65.0
Built-up  Area,Fergusson College Road,3600.0,6.0,0.0,6.0,141.0
Super built-up  Area,other,589.0,1.0,1.0,1.0,27.0
Super built-up  Area,other,1415.0,3.0,3.0,3.0,78.0
Super built-up  Area,other,1787.0,3.0,2.0,3.0,98.29
Super built-up  Area,Ghorpadi,1787.0,3.0,2.0,3.0,125.0
Super built-up  Area,other,1475.0,2.0,3.0,3.0,90.0
Built-up  Area,Gultekdi,2000.0,4.0,1.0,4.0,75.5
Super built-up  Area,other,984.0,2.0,1.0,2.0,44.28
Super built-up  Area,Hadapsar Industrial Estate,2405.0,4.0,2.0,3.0,260.0
Built-up  Area,Hingne Khurd,1080.0,2.0,2.0,2.0,72.0
Plot  Area,other,1500.0,2.0,1.0,2.0,115.0
Super built-up  Area,other,1900.0,3.0,2.0,3.0,119.0
Super built-up  Area,other,805.0,2.0,1.0,2.0,22.14
Super built-up  Area,other,1153.0,2.0,2.0,2.0,56.4
Super built-up  Area,other,1148.0,2.0,2.0,2.0,60.0
Super built-up  Area,other,1110.0,2.0,2.0,2.0,55.0
Built-up  Area,other,1100.0,2.0,2.0,2.0,42.0
Super built-up  Area,Khadki,1290.0,2.0,2.0,2.0,110.0
Super built-up  Area,Kharadi,1500.0,2.0,1.0,3.0,65.0
Super built-up  Area,Kondhwa,1080.0,2.0,2.0,2.0,39.0
Super built-up  Area,Kondhwa Budruk,1933.0,3.0,1.0,3.0,129.0
Built-up  Area,other,3500.0,5.0,2.0,5.0,150.0
Built-up  Area,Koregaon Park,1060.0,2.0,2.0,2.0,60.0
Super built-up  Area,other,645.0,1.0,1.0,1.0,16.45
Plot  Area,other,2600.0,8.0,2.0,8.0,180.0
Super built-up  Area,other,645.0,1.0,1.0,1.0,16.45
Super built-up  Area,other,1644.0,3.0,3.0,3.0,84.0
Super built-up  Area,other,1285.0,2.0,3.0,2.0,72.5
Plot  Area,Mangalwar peth,1200.0,3.0,1.0,3.0,90.0
Super built-up  Area,Manik Bagh,910.0,2.0,1.0,2.0,40.0
Super built-up  Area,Market yard,1577.0,3.0,1.0,3.0,70.0
Plot  Area,other,4050.0,3.0,2.0,3.0,280.0
Super built-up  Area,other,2420.0,3.0,2.0,3.0,185.0
Super built-up  Area,Mundhawa,800.0,1.0,1.0,2.0,20.0
Built-up  Area,other,1060.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,1270.0,2.0,2.0,2.0,93.0
Super built-up  Area,Narayan Peth,900.0,2.0,2.0,2.0,22.5
Built-up  Area,other,1280.0,2.0,1.0,2.0,69.0
Plot  Area,other,1200.0,2.0,0.0,4.0,95.0
Built-up  Area,other,1025.0,2.0,2.0,2.0,36.0
Super built-up  Area,Parvati Darshan,1108.0,2.0,1.0,2.0,63.0
Super built-up  Area,Paud Road,3045.0,3.0,2.0,3.0,170.0
Plot  Area,other,2900.0,3.0,2.0,4.0,300.0
Super built-up  Area,other,1500.0,3.0,2.0,3.0,75.5
Super built-up  Area,other,1295.0,2.0,2.0,2.0,43.9
Super built-up  Area,Rasta Peth,1162.0,2.0,1.0,2.0,59.9
Super built-up  Area,other,1035.0,2.0,2.0,2.0,49.2
Built-up  Area,Sadashiv Peth,1600.0,4.0,0.0,4.0,52.8
Super built-up  Area,other,1464.0,3.0,2.0,3.0,46.0
Super built-up  Area,other,1866.0,2.0,2.0,3.0,61.58
Super built-up  Area,Sasson Road,700.0,1.0,1.0,2.0,26.0
Super built-up  Area,other,1804.0,3.0,2.0,3.0,120.0
Super built-up  Area,other,913.0,2.0,1.0,2.0,32.0
Super built-up  Area,other,1868.0,3.0,2.0,3.0,131.0
Built-up  Area,other,883.0,2.0,1.0,2.0,45.0
Plot  Area,other,900.0,2.0,1.0,2.0,110.0
Super built-up  Area,other,1664.0,2.0,3.0,3.0,73.95
Super built-up  Area,Somwar Peth,2026.0,3.0,2.0,3.0,132.0
Super built-up  Area,Swargate,1210.0,2.0,1.0,2.0,80.9
Plot  Area,other,4111.0,4.0,2.0,4.0,250.0
Super built-up  Area,other,1762.0,3.0,3.0,3.0,91.45
Super built-up  Area,other,1252.0,3.0,3.0,3.0,55.0
Built-up  Area,other,861.0,2.0,1.0,2.0,34.5
Built-up  Area,other,1420.0,2.0,1.0,3.0,100.0
Built-up  Area,other,1490.0,3.0,1.0,3.0,78.8
Super built-up  Area,other,1075.0,2.0,1.0,3.0,46.0
Super built-up  Area,other,1425.0,2.0,2.0,3.0,94.0
Built-up  Area,Warje,1200.0,2.0,1.0,2.0,40.0
Super built-up  Area,Yerawada,1280.0,2.0,2.0,3.0,56.0
Super built-up  Area,Alandi Road,1084.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1015.0,2.0,2.0,2.0,25.88
Super built-up  Area,other,1017.0,2.0,1.0,2.0,51.25
Super built-up  Area,other,1027.0,2.0,2.0,2.0,44.0
Super built-up  Area,other,1069.0,2.0,2.0,2.0,45.0
Super built-up  Area,other,1349.0,2.0,1.0,2.0,98.2
Super built-up  Area,other,1005.0,2.0,1.0,2.0,50.0
Super built-up  Area,Baner road,1417.0,2.0,3.0,2.0,75.0
Plot  Area,Bhandarkar Road,1475.0,3.0,1.0,3.0,98.0
Carpet  Area,Bhavani Peth,950.0,2.0,2.0,2.0,47.0
Super built-up  Area,other,2000.0,4.0,0.0,4.0,120.0
Super built-up  Area,other,1863.0,3.0,2.0,4.0,104.0
Super built-up  Area,other,1010.0,2.0,1.0,2.0,29.5
Super built-up  Area,other,1425.0,2.0,1.0,3.0,70.0
Super built-up  Area,Chandan Nagar,1450.0,3.0,0.0,3.0,100.0
Super built-up  Area,other,1847.0,3.0,2.0,3.0,105.0
Super built-up  Area,other,1100.0,2.0,3.0,2.0,45.0
Super built-up  Area,other,525.0,1.0,1.0,1.0,26.0
Super built-up  Area,other,1665.0,3.0,2.0,3.0,95.0
Super built-up  Area,other,1664.0,4.0,3.0,4.0,65.0
Super built-up  Area,other,1850.0,3.0,3.0,3.0,150.0
Super built-up  Area,other,1438.0,2.0,3.0,2.0,100.0
Super built-up  Area,other,1560.0,3.0,3.0,3.0,115.0
Super built-up  Area,Fergusson College Road,1350.0,2.0,1.0,2.0,55.55
Super built-up  Area,other,1550.0,3.0,3.0,3.0,67.0
Super built-up  Area,other,1140.0,2.0,2.0,2.0,46.5
Super built-up  Area,Ghorpadi,850.0,2.0,2.0,2.0,27.0
Super built-up  Area,other,1280.0,2.0,2.0,2.0,75.0
Built-up  Area,Gultekdi,1170.0,2.0,2.0,2.0,52.0
Super built-up  Area,other,1113.0,2.0,1.0,2.0,51.0
Super built-up  Area,other,1385.0,2.0,1.0,2.0,83.09
Super built-up  Area,Hadapsar Industrial Estate,1128.0,2.0,1.0,2.0,65.0
Plot  Area,Hingne Khurd,1200.0,2.0,2.0,2.0,128.0
Plot  Area,other,2400.0,4.0,1.0,4.0,400.0
Super built-up  Area,other,1464.0,3.0,2.0,3.0,56.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,52.0
Super built-up  Area,other,1150.0,2.0,1.0,3.0,55.0
Built-up  Area,Khadki,1645.0,3.0,2.0,3.0,95.0
Super built-up  Area,Kharadi,1000.0,2.0,1.0,2.0,67.0
Plot  Area,Kondhwa,2650.0,4.0,2.0,4.0,198.0
Super built-up  Area,Kondhwa Budruk,1192.0,2.0,2.0,2.0,74.0
Super built-up  Area,other,2135.0,3.0,2.0,3.0,215.0
Super built-up  Area,Koregaon Park,1173.0,2.0,1.0,2.0,58.0
Built-up  Area,other,1020.0,2.0,2.0,2.0,45.0
Super built-up  Area,other,3122.0,6.0,2.0,4.0,230.0
Super built-up  Area,other,1600.0,3.0,3.0,3.0,64.0
Plot  Area,other,1200.0,2.0,0.0,2.0,79.0
Carpet  Area,other,1230.0,2.0,3.0,2.0,48.0
Super built-up  Area,Mangalwar peth,1250.0,2.0,2.0,2.0,40.0
Super built-up  Area,Manik Bagh,1325.0,2.0,2.0,2.0,76.0
Built-up  Area,Market yard,1850.0,3.0,1.0,3.0,150.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,65.0
Plot  Area,Mundhawa,1350.0,2.0,0.0,3.0,140.0
Super built-up  Area,other,1260.0,3.0,1.0,3.0,49.36
Super built-up  Area,other,1800.0,3.0,0.0,3.0,150.0
Built-up  Area,other,1100.0,2.0,1.0,2.0,43.25
Super built-up  Area,other,1508.0,2.0,1.0,2.0,77.0
Carpet  Area,other,1592.0,3.0,2.0,3.0,75.0
Super built-up  Area,Parvati Darshan,1388.0,2.0,3.0,2.0,57.0
Super built-up  Area,other,630.0,1.0,1.0,1.0,28.35
Plot  Area,Paud Road,2000.0,3.0,2.0,3.0,365.0
Super built-up  Area,other,1762.0,3.0,1.0,3.0,125.0
Super built-up  Area,other,950.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,3252.0,5.0,3.0,4.0,335.0
Super built-up  Area,Rasta Peth,1116.0,2.0,1.0,2.0,50.0
Super built-up  Area,other,1308.0,2.0,2.0,2.0,89.04
Super built-up  Area,Sadashiv Peth,1200.0,3.0,0.0,3.0,90.0
Plot  Area,other,1500.0,4.0,2.0,4.0,230.0
Built-up  Area,other,500.0,1.0,1.0,1.0,18.5
Super built-up  Area,Sasson Road,1075.0,2.0,1.0,2.0,52.0
Super built-up  Area,other,530.0,1.0,0.0,1.0,11.66
Built-up  Area,other,1205.0,2.0,3.0,2.0,66.0
Super built-up  Area,other,1075.0,2.0,2.0,2.0,60.0
Built-up  Area,other,930.0,2.0,2.0,2.0,39.0
Super built-up  Area,other,1380.0,2.0,1.0,2.0,60.0
Super built-up  Area,other,2483.0,5.0,2.0,4.0,212.0
Built-up  Area,Somwar Peth,1166.0,2.0,2.0,2.0,55.0
Super built-up  Area,Swargate,1050.0,2.0,1.0,2.0,65.0
Super built-up  Area,other,2023.71,3.0,2.0,3.0,275.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,46.8
Super built-up  Area,other,1600.0,2.0,1.0,3.0,108.0
Super built-up  Area,other,1935.0,3.0,2.0,3.0,110.0
Super built-up  Area,other,451.0,1.0,0.0,1.0,29.9
Super built-up  Area,Vishrant Wadi,1800.0,3.0,2.0,3.0,95.0
Super built-up  Area,other,1400.0,3.0,0.0,3.0,77.0
Super built-up  Area,other,1801.0,3.0,2.0,3.0,115.0
Built-up  Area,other,1451.0,2.0,0.0,2.0,90.0
Plot  Area,Warje,1200.0,1.0,1.0,2.0,36.0
Super built-up  Area,Yerawada,1160.0,2.0,2.0,2.0,44.0
Built-up  Area,Alandi Road,1000.0,2.0,1.0,2.0,25.0
Super built-up  Area,other,950.0,2.0,1.0,2.0,40.0
Built-up  Area,other,1629.0,3.0,2.0,3.0,79.0
Built-up  Area,other,1580.0,2.0,0.0,3.0,134.0
Super built-up  Area,other,1826.0,3.0,2.0,3.0,121.0
Built-up  Area,other,1245.0,2.0,1.0,2.0,94.0
Super built-up  Area,other,1145.0,2.0,2.0,2.0,45.79
Super built-up  Area,Baner road,825.0,2.0,1.0,2.0,33.0
Super built-up  Area,Bhandarkar Road,1693.0,3.0,3.0,3.0,108.0
Super built-up  Area,Bhavani Peth,1113.27,2.0,2.0,2.0,53.0
Built-up  Area,other,1460.0,2.0,1.0,2.0,58.0
Built-up  Area,other,1050.0,2.0,1.0,2.0,32.0
Built-up  Area,other,1260.0,2.0,2.0,2.0,55.0
Built-up  Area,other,1656.0,2.0,1.0,2.0,120.0
Super built-up  Area,Chandan Nagar,1208.0,3.0,1.0,3.0,45.0
Super built-up  Area,other,1910.0,3.0,2.0,3.0,161.0
Super built-up  Area,other,3252.0,4.0,1.0,4.0,230.0
Plot  Area,other,1200.0,2.0,1.0,2.0,65.0
Super built-up  Area,other,1200.0,4.0,1.0,4.0,175.0
Super built-up  Area,other,1175.0,2.0,1.0,2.0,82.0
Plot  Area,other,1200.0,2.0,0.0,4.0,125.0
Super built-up  Area,other,1185.0,2.0,0.0,2.0,38.0
Super built-up  Area,Ghorpadi,750.0,2.0,1.0,2.0,38.0
Super built-up  Area,Gultekdi,1550.0,3.0,3.0,3.0,64.5
Built-up  Area,other,1760.0,3.0,2.0,3.0,88.0
Super built-up  Area,other,1125.0,2.0,2.0,2.0,62.0
Plot  Area,Hadapsar Industrial Estate,1350.0,3.0,2.0,3.0,150.0
Plot  Area,Hingne Khurd,1000.0,2.0,1.0,2.0,55.0
Built-up  Area,other,1090.0,2.0,2.0,2.0,31.48
Plot  Area,other,1200.0,2.0,0.0,2.0,60.0
Super built-up  Area,other,1991.0,4.0,2.0,3.0,103.0
Super built-up  Area,other,1060.0,2.0,1.0,2.0,26.5
Super built-up  Area,other,1105.0,2.0,1.0,2.0,75.0
Built-up  Area,other,985.0,2.0,2.0,2.0,67.0
Super built-up  Area,Khadki,1590.0,3.0,2.0,3.0,79.0
Super built-up  Area,Kharadi,1120.0,2.0,2.0,2.0,55.0
Super built-up  Area,Kondhwa,1069.0,2.0,1.0,2.0,55.0
Super built-up  Area,Kondhwa Budruk,1933.0,3.0,2.0,3.0,140.0
Built-up  Area,other,1194.0,2.0,0.0,2.0,69.0
Super built-up  Area,Koregaon Park,1150.0,2.0,3.0,2.0,69.0
Super built-up  Area,other,1240.0,2.0,2.0,2.0,47.12
Super built-up  Area,other,1419.0,2.0,2.0,2.0,48.1
Super built-up  Area,other,2150.0,4.0,0.0,3.0,240.0
Super built-up  Area,other,1450.0,3.0,2.0,3.0,55.0
Super built-up  Area,Mangalwar peth,1630.0,3.0,2.0,3.0,68.29
Super built-up  Area,Manik Bagh,708.0,1.0,1.0,2.0,40.0
Plot  Area,Market yard,1000.0,4.0,3.0,3.0,110.0
Plot  Area,other,11890.0,4.0,3.0,4.0,700.0
Super built-up  Area,other,1250.0,2.0,1.0,2.0,76.0
Super built-up  Area,Mundhawa,1400.0,2.0,1.0,3.0,95.0
Super built-up  Area,other,1670.0,2.0,3.0,3.0,57.0
Super built-up  Area,other,1750.0,3.0,2.0,3.0,100.0
Super built-up  Area,Narayan Peth,1404.0,2.0,1.0,2.0,71.0
Super built-up  Area,other,1715.0,2.0,2.0,3.0,95.0
Built-up  Area,other,630.0,1.0,1.0,1.0,34.65
Super built-up  Area,other,1752.12,3.0,2.0,3.0,135.0
Super built-up  Area,Parvati Darshan,1650.0,3.0,2.0,3.0,78.0
Super built-up  Area,other,1295.0,2.0,1.0,2.0,55.47
Plot  Area,Paud Road,1800.0,3.0,2.0,3.0,252.0
Super built-up  Area,other,1346.0,2.0,1.0,2.0,74.03
Super built-up  Area,other,1150.0,2.0,2.0,2.0,55.0
Built-up  Area,Rasta Peth,3309.0,4.0,3.0,4.0,325.0
